2017-07-20 08:40:11,805 | INFO | DefaultCamelContext.java 3364 | Apache Camel 2.20.0-SNAPSHOT (CamelContext: camel-1) is shutting down
2017-07-20 08:40:11,806 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 10 seconds)
2017-07-20 08:40:11,810 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: file://input?noop=true
2017-07-20 08:40:11,810 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2017-07-20 08:40:11,829 | INFO | DefaultCamelContext.java 3452 | Apache Camel 2.20.0-SNAPSHOT (CamelContext: camel-1) uptime 5.447 seconds
2017-07-20 08:40:11,830 | INFO | DefaultCamelContext.java 3453 | Apache Camel 2.20.0-SNAPSHOT (CamelContext: camel-1) is shutdown in 0.025 seconds
2017-07-22 06:48:13,478 | INFO | CamelTestSupport.java 242 | ********************************************************************************
2017-07-22 06:48:13,480 | INFO | CamelTestSupport.java 243 | Testing: contentBasedRouterTest(com.learncamel.eip.contentbasedrouter.ContentBasedRouterTest)
2017-07-22 06:48:13,481 | INFO | CamelTestSupport.java 244 | ********************************************************************************
2017-07-22 06:48:13,840 | INFO | DefaultCamelContext.java 3121 | Apache Camel 2.20.0-SNAPSHOT (CamelContext: camel-1) is starting
2017-07-22 06:48:13,841 | INFO | DefaultManagementStrategy.java 232 | JMX is disabled
2017-07-22 06:48:13,892 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 1)
2017-07-22 06:48:14,036 | INFO | DefaultCamelContext.java 3426 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2017-07-22 06:48:14,043 | INFO | FileEndpoint.java 104 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2017-07-22 06:48:14,043 | INFO | FileEndpoint.java 110 | Using default memory based idempotent repository with cache max size: 1000
2017-07-22 06:48:14,065 | INFO | DefaultCamelContext.java 3986 | Route: route1 started and consuming from: file://input?noop=true
2017-07-22 06:48:14,065 | INFO | DefaultCamelContext.java 3166 | Total 1 routes, of which 1 are started.
2017-07-22 06:48:14,068 | INFO | DefaultCamelContext.java 3167 | Apache Camel 2.20.0-SNAPSHOT (CamelContext: camel-1) started in 0.225 seconds
2017-07-22 06:48:15,083 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, Headers: {breadcrumbId=ID-6c4008c0f7fa-1500724093526-0-1, CamelFileAbsolute=false, CamelFileAbsolutePath=/Dilip/Study/ApacheCamel/TeachApacheCamel/codebase/learn-camel-eips/input/Employee.json, CamelFileLastModified=1500526628000, CamelFileLength=68, CamelFileName=Employee.json, CamelFileNameConsumed=Employee.json, CamelFileNameOnly=Employee.json, CamelFileParent=input, CamelFilePath=input/Employee.json, CamelFileRelativePath=Employee.json}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[Employee.json]]]
2017-07-22 06:48:15,106 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, Headers: {breadcrumbId=ID-6c4008c0f7fa-1500724093526-0-2, CamelFileAbsolute=false, CamelFileAbsolutePath=/Dilip/Study/ApacheCamel/TeachApacheCamel/codebase/learn-camel-eips/input/Index.html, CamelFileLastModified=1492777602000, CamelFileLength=123, CamelFileName=Index.html, CamelFileNameConsumed=Index.html, CamelFileNameOnly=Index.html, CamelFileParent=input, CamelFilePath=input/Index.html, CamelFileRelativePath=Index.html}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[Index.html]]]
2017-07-22 06:48:15,108 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, Headers: {breadcrumbId=ID-6c4008c0f7fa-1500724093526-0-3, CamelFileAbsolute=false, CamelFileAbsolutePath=/Dilip/Study/ApacheCamel/TeachApacheCamel/codebase/learn-camel-eips/input/input.txt, CamelFileLastModified=1500526501000, CamelFileLength=18, CamelFileName=input.txt, CamelFileNameConsumed=input.txt, CamelFileNameOnly=input.txt, CamelFileParent=input, CamelFilePath=input/input.txt, CamelFileRelativePath=input.txt}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[input.txt]]]
